Size	   Bubble Sort	Selection Sort	Insertion Sort
50	51758.71	16370.53	35979.7
100	38023.934	14746.735	45043.395
150	78113.14	29264.79	48935.016
200	100300.1	35960.47	21695.336
250	151369.86	53523.586	32187.215
300	212474.31	75066.27	44982.266
350	284082.06	98620.03	60102.656
400	368161.2	126754.48	76768.3
450	459596.47	158816.69	94892.98
500	563329.06	193450.81	116302.64
550	676475.2	231874.0	139517.38
600	795702.6	272332.88	164524.45
650	927555.2	315744.94	190299.22
700	1070418.8	362648.12	218788.06
750	1222968.8	416952.4	251742.6
800	1388286.2	473333.25	285535.1
850	1545699.4	525578.4	317073.53
900	1705939.6	583763.8	349725.16
950	1950505.2	658627.94	397533.38
1000	2159155.8	734442.06	441508.8
